stream_ID,year,month,day,Value
flow_236212,1976,10,12,0.894
flow_236212,1976,10,13,0.715
flow_236212,1976,10,14,0.607
flow_236212,1976,10,15,0.686
flow_236212,1976,10,16,4.815
flow_236212,1976,10,17,9.691
flow_236212,1976,10,18,5.93
flow_236212,1976,10,19,3.388
flow_236212,1976,10,20,2.071
flow_236212,1976,10,21,1.305
flow_236212,1976,10,22,1.135
flow_236212,1976,10,23,1.109
flow_236212,1976,10,24,0.939
flow_236212,1976,10,25,0.811
flow_236212,1976,10,26,0.642
flow_236212,1976,10,27,0.541
flow_236212,1976,10,28,0.459
flow_236212,1976,10,29,0.419
flow_236212,1976,10,30,0.39
flow_236212,1976,10,31,0.369
flow_236212,1976,11,1,0.358
flow_236212,1976,11,2,0.554
flow_236212,1976,11,3,2.735
flow_236212,1976,11,4,3.326
flow_236212,1976,11,5,1.878
flow_236212,1976,11,6,1.031
flow_236212,1976,11,7,0.669
flow_236212,1976,11,8,0.506
flow_236212,1976,11,9,0.43
flow_236212,1976,11,10,0.387
flow_236212,1976,11,11,0.36
flow_236212,1976,11,12,0.351
flow_236212,1976,11,13,0.339
flow_236212,1976,11,14,0.318
flow_236212,1976,11,15,0.301
flow_236212,1976,11,16,0.295
flow_236212,1976,11,17,0.292
flow_236212,1976,11,18,0.292
flow_236212,1976,11,19,0.292
flow_236212,1976,11,20,0.292
flow_236212,1976,11,21,0.298
flow_236212,1976,11,22,0.307
flow_236212,1976,11,23,0.306
flow_236212,1976,11,24,0.304
flow_236212,1976,11,25,0.294
flow_236212,1976,11,26,0.548
flow_236212,1976,11,27,2.51
flow_236212,1976,11,28,1.269
flow_236212,1976,11,29,0.585
flow_236212,1976,11,30,0.462
flow_236212,1976,12,1,0.419
flow_236212,1976,12,2,0.376
flow_236212,1976,12,3,0.363
flow_236212,1976,12,4,0.36
flow_236212,1976,12,5,0.358
flow_236212,1976,12,6,0.336
flow_236212,1976,12,7,0.313
flow_236212,1976,12,8,0.308
flow_236212,1976,12,9,0.289
flow_236212,1976,12,10,0.27
flow_236212,1976,12,11,0.254
flow_236212,1976,12,12,0.371
flow_236212,1976,12,13,0.449
flow_236212,1976,12,14,0.374
flow_236212,1976,12,15,0.339
flow_236212,1976,12,16,0.327
flow_236212,1976,12,17,0.398
flow_236212,1976,12,18,0.346
flow_236212,1976,12,19,0.335
flow_236212,1976,12,20,0.31
flow_236212,1976,12,21,0.274
flow_236212,1976,12,22,0.257
flow_236212,1976,12,23,0.245
flow_236212,1976,12,24,0.251
flow_236212,1976,12,25,0.261
flow_236212,1976,12,26,0.257
flow_236212,1976,12,27,0.238
flow_236212,1976,12,28,0.236
flow_236212,1976,12,29,0.22
flow_236212,1976,12,30,0.204
flow_236212,1976,12,31,0.189
flow_236212,1977,1,1,0.19
